Time (s),Green Avg (rPPG Proxy)
0.000,110.14874213836478
0.033,111.46888888888888
0.067,111.12692307692308
0.100,110.70320512820513
0.133,118.15809523809524
0.167,117.7448717948718
0.200,117.99111111111111
0.233,117.43018867924528
0.267,117.94952380952381
0.300,116.75174603174604
0.333,116.1584126984127
0.367,115.77467948717948
0.400,119.20031746031746
0.433,119.25598705501618
0.467,116.65936507936507
0.500,117.20448717948717
0.533,115.17587301587301
0.567,118.09679487179487
0.600,118.30032362459546
0.633,117.99320388349514
0.667,116.62285714285714
0.700,118.99166666666666
0.733,117.78539682539683
0.767,117.34647435897436
0.800,117.59102564102564
0.833,118.80224358974358
0.867,117.80253968253969
0.900,119.08285714285714
0.933,118.45094339622642
0.967,118.86888888888889
1.000,120.02523364485981
1.033,119.97704402515723
1.067,121.82861635220125
1.100,121.59142857142857
1.133,122.45503144654089
1.167,125.08205128205128
1.200,124.90730158730159
1.233,125.55631067961166
1.267,122.99326923076923
1.300,122.16666666666667
1.333,124.41111111111111
1.367,123.41153846153846
1.400,122.28108974358975
1.433,121.82660256410256
1.467,123.5072607260726
1.500,122.93300653594771
1.533,122.14498381877023
1.567,124.63566666666667
1.600,123.43074433656957
1.633,122.44967948717948
1.667,123.50032362459547
1.700,123.83653846153847
1.733,123.91521035598706
1.767,123.92222222222222
1.800,123.94142394822006
1.833,124.57614379084967
1.867,124.10129449838188
1.900,123.95718954248366
1.933,124.15445544554456
1.967,125.485
2.000,123.13624595469255
2.033,124.61649831649832
2.067,121.81111111111112
2.100,122.57083333333334
2.133,124.13009708737864
2.167,122.03464052287582
2.200,125.43267326732673
2.233,125.0016501650165
2.267,124.1115511551155
2.300,123.08237179487179
2.333,121.3718954248366
2.367,119.41359223300971
2.400,119.11682847896441
2.433,121.6797385620915
2.467,120.44248366013072
2.500,121.2
2.533,122.26765676567656
2.567,118.90224358974359
2.600,119.51797385620915
2.633,123.67483660130719
2.667,121.61229773462783
2.700,122.25686274509803
2.733,121.04166666666667
2.767,122.61877022653722
2.800,122.76410256410256
2.833,121.90190476190476
2.867,122.3176282051282
2.900,122.7126213592233
2.933,123.42912621359223
2.967,122.88770226537217
3.000,121.01521035598705
3.033,123.88576051779935
3.067,123.15064102564102
3.100,121.80647249190939
3.133,121.22200647249191
3.167,122.6859477124183
3.200,122.90355987055017
3.233,122.45339805825243
3.267,122.4084142394822
3.300,120.36923076923077
