Time (s),Green Avg (rPPG Proxy)
0.000,97.64401709401709
0.033,94.0725
0.067,96.16239316239316
0.100,98.34035087719299
0.133,94.1051948051948
0.167,97.76622222222223
0.200,96.73684210526316
0.233,95.87155555555556
0.267,96.86977777777778
0.300,95.06533333333333
0.333,94.42412280701754
0.367,92.78977777777777
0.400,92.19422222222222
0.433,96.61801801801802
0.467,95.45225225225225
0.500,92.51666666666667
0.533,96.69259259259259
0.567,96.66666666666667
0.600,148.58666666666667
0.633,114.62361111111112
0.667,152.90463768115941
0.700,162.91792452830188
0.733,102.19411764705882
0.767,100.47156862745098
0.800,104.15641025641025
0.833,104.93551912568306
0.867,110.17704918032787
0.900,112.0241935483871
0.933,102.2407960199005
0.967,114.43983739837398
1.000,102.00454545454545
1.033,101.07198067632851
1.067,98.3768115942029
1.100,100.28985507246377
1.133,102.34278606965174
1.167,101.69710144927537
1.200,101.06571428571428
1.233,99.28039215686275
1.267,98.02463768115942
1.300,85.23142857142857
1.333,90.52512077294686
1.367,96.67857142857143
1.400,97.43857142857142
1.433,98.19178743961352
1.467,99.00238095238095
1.500,100.29019607843138
1.533,98.04202898550724
1.567,99.87107843137255
1.600,100.67107843137255
1.633,97.88333333333334
1.667,101.02696078431373
1.700,98.41256038647343
1.733,96.57058823529412
1.767,96.81078431372549
1.800,99.10245098039216
1.833,97.7768115942029
1.867,99.79751243781095
1.900,98.83774509803922
1.933,94.8813725490196
1.967,93.34825870646766
2.000,83.18285714285715
2.033,88.2720588235294
2.067,91.72696078431373
2.100,87.02253521126761
2.133,85.29718309859155
2.167,86.12394366197184
2.200,85.82270531400967
2.233,85.40980392156862
2.267,90.10252525252525
2.300,100.27156862745097
2.333,99.39253731343284
2.367,102.33781094527363
2.400,102.11897435897436
2.433,102.63484848484849
2.467,100.83333333333333
2.500,102.71060606060605
2.533,103.24427860696517
2.567,101.31414141414142
2.600,99.29460784313726
2.633,100.14577114427861
2.667,98.49848484848485
2.700,102.75948717948718
2.733,102.25833333333334
2.767,103.14307692307692
2.800,103.26161616161616
2.833,105.32307692307693
2.867,103.60153846153847
2.900,103.47948717948718
2.933,104.58737373737374
2.967,105.95373134328358
3.000,102.76965174129353
3.033,101.95833333333333
3.067,104.23980099502488
3.100,106.28507462686566
3.133,98.22696078431373
3.167,100.38457711442786
3.200,94.40149253731343
3.233,95.60199004975124
3.267,95.7139303482587
3.300,103.2636815920398
3.333,101.98308457711443
3.367,105.86161616161615
3.400,106.85925925925926
3.433,94.72676767676768
3.467,91.2671568627451
3.500,88.17929292929293
3.533,87.89203980099502
3.567,86.97107843137255
3.600,87.46225490196079
3.633,89.07205882352942
