Time (s),Green Avg (rPPG Proxy)
0.000,81.22624113475177
0.033,82.4178947368421
0.067,81.69131944444445
0.100,79.91631944444444
0.133,80.81631944444445
0.167,82.00947368421053
0.200,81.15868055555555
0.233,81.64236111111111
0.267,81.65798611111111
0.300,83.24245614035088
0.333,83.22105263157894
0.367,84.03581560283688
0.400,85.56164874551972
0.433,84.20456140350878
0.467,84.66280701754386
0.500,86.85942028985507
0.533,88.10886524822695
0.567,88.79184397163121
0.600,87.55531914893616
0.633,94.51971326164875
0.667,94.41594202898551
0.700,94.92898550724638
0.733,96.50144927536232
0.767,95.73962962962963
0.800,94.696336996337
0.833,100.5749063670412
0.867,94.15017921146953
0.900,93.1340350877193
0.933,93.36808510638298
0.967,93.91557971014493
1.000,93.56418439716312
1.033,93.13368794326242
1.067,93.2594982078853
1.100,96.85985663082437
1.133,92.71362007168459
1.167,92.42043010752688
1.200,91.77347670250896
1.233,92.47355072463768
1.267,91.53799283154122
1.300,92.03623188405797
1.333,91.4405017921147
1.367,91.72759856630825
1.400,91.69148936170212
1.433,92.09784946236559
1.467,92.13870967741936
1.500,91.10035460992908
1.533,91.08245614035087
1.567,91.8950354609929
1.600,90.28280701754386
1.633,92.55878136200717
1.667,89.30763888888889
1.700,90.35590277777777
1.733,91.30105263157894
1.767,92.13368421052631
1.800,92.31859649122806
1.833,92.54290780141844
1.867,92.02736842105263
1.900,92.48368794326241
1.933,90.6048611111111
1.967,91.21859649122807
2.000,91.29270833333334
2.033,92.76947368421052
2.067,91.46
2.100,92.48645833333333
2.133,92.6354609929078
2.167,92.49787234042553
2.200,92.89539007092199
2.233,92.55567375886525
2.267,91.73894736842105
2.300,91.89468085106382
2.333,91.97578947368422
2.367,92.29543859649122
2.400,91.87543859649122
2.433,92.62947368421052
2.467,91.99298245614035
2.500,92.4145390070922
2.533,90.96947368421053
2.567,91.6378947368421
2.600,93.44623655913979
2.633,99.7463768115942
2.667,92.06035087719299
2.700,92.73978494623655
2.733,92.71347517730497
2.767,91.64861111111111
2.800,92.82280701754387
2.833,94.3145390070922
2.867,94.74695340501792
2.900,95.35412186379928
2.933,96.22124542124543
2.967,96.01231884057971
3.000,94.73964912280702
3.033,96.20967741935483
3.067,96.35579710144927
3.100,96.74175824175825
3.133,97.14029304029305
3.167,97.16593406593407
3.200,96.33115942028985
3.233,96.15053763440861
3.267,94.74929078014185
3.300,96.40760869565217
3.333,95.2
3.367,95.30250896057348
3.400,95.96594202898551
3.433,95.76376811594203
3.467,95.71469534050179
3.500,94.95806451612903
3.533,95.76881720430107
3.567,95.88617021276596
3.600,95.15212765957448
