Time (s),Green Avg (rPPG Proxy)
0.000,82.119918699187
0.033,80.05679012345679
0.067,49.002985074626864
0.100,50.1044776119403
0.133,51.92727272727273
0.167,50.286274509803924
0.200,50.85392156862745
0.233,52.81666666666667
0.267,52.65138888888889
0.300,53.57927927927928
0.333,54.81644444444444
0.367,56.21184210526316
0.400,56.486222222222224
0.433,57.82943722943723
0.467,59.775877192982456
0.500,62.10735930735931
0.533,65.21752136752137
0.567,65.67341772151899
0.600,64.93916666666667
0.633,69.91791666666667
0.667,65.57958333333333
0.700,69.52988505747126
0.733,70.14888888888889
0.767,70.94456140350877
0.800,70.75017543859649
0.833,71.22048611111111
0.867,76.91508771929824
0.900,71.3213058419244
0.933,70.87964912280702
0.967,73.52
1.000,73.0880701754386
1.033,73.01333333333334
1.067,78.48971631205674
1.100,78.54787234042553
1.133,69.84432989690721
1.167,71.98156028368794
1.200,72.45729166666666
1.233,73.1986111111111
1.267,73.21684210526315
1.300,74.9258865248227
1.333,75.1757894736842
1.367,75.95531914893617
1.400,78.14893617021276
1.433,75.56344086021505
1.467,74.284229390681
1.500,74.1354609929078
1.533,74.12430555555555
1.567,74.14315789473685
1.600,73.49684210526316
1.633,74.1757894736842
1.667,74.34326241134752
1.700,73.5378947368421
1.733,72.74113475177305
1.767,70.79498207885305
1.800,70.98566308243727
1.833,69.67269503546099
1.867,68.81631205673759
1.900,69.52939068100359
1.933,69.5741935483871
1.967,69.74910394265233
2.000,71.54408602150538
2.033,70.02872340425532
2.067,70.8326164874552
2.100,70.49390681003584
2.133,69.86917562724014
2.167,69.57427536231884
2.200,69.77826086956522
2.233,69.99743589743589
2.267,71.14358974358974
2.300,70.8010989010989
2.333,70.0047619047619
2.367,70.87619047619047
2.400,71.1901098901099
2.433,70.196336996337
2.467,70.96153846153847
2.500,71.92051282051283
2.533,72.77509157509158
2.567,72.54835164835166
2.600,72.8010989010989
2.633,72.9941391941392
2.667,73.45434782608696
2.700,73.23623188405797
2.733,74.10842490842491
2.767,74.59084249084249
2.800,74.51465201465201
2.833,78.39267399267399
2.867,79.87765567765568
2.900,80.42527472527472
2.933,80.81282051282051
2.967,80.75814814814815
3.000,81.24740740740741
3.033,80.77985347985349
3.067,80.4737037037037
3.100,81.33626373626373
3.133,81.95860805860806
3.167,81.72820512820513
3.200,80.94688644688645
3.233,80.72380952380952
3.267,81.51684981684981
3.300,80.58681318681319
3.333,80.32161172161172
3.367,79.84725274725275
3.400,83.85750915750916
3.433,85.58571428571429
3.467,85.76123188405798
3.500,86.35494505494505
3.533,86.83040293040293
3.567,86.63406593406593
3.600,87.23851851851852
