Time (s),Green Avg (rPPG Proxy)
0.000,89.296
0.033,91.87324561403508
0.067,95.17807017543859
0.100,83.89254385964912
0.133,85.56126126126127
0.167,84.3963963963964
0.200,86.76296296296296
0.233,85.04814814814814
0.267,85.9462962962963
0.300,86.05399061032864
0.333,90.33286384976526
0.367,90.98333333333333
0.400,89.73482587064677
0.433,88.79040404040404
0.467,86.43864734299517
0.500,83.70098039215686
0.533,83.26318407960198
0.567,83.0223880597015
0.600,86.02935323383085
0.633,81.91641791044776
0.667,82.35507246376811
0.700,85.75049019607843
0.733,85.11470588235294
0.767,85.37004830917874
0.800,86.49353233830846
0.833,85.59710144927536
0.867,81.3847619047619
0.900,83.79571428571428
0.933,82.59857142857143
0.967,88.24215686274509
1.000,86.8231884057971
1.033,88.29761904761905
1.067,87.10380952380953
1.100,88.37342995169082
1.133,90.36280193236715
1.167,86.39661835748792
1.200,86.3975845410628
1.233,84.83864734299517
1.267,89.78502415458937
1.300,89.89380952380952
1.333,88.0547619047619
1.367,87.6018779342723
1.400,87.63904761904762
1.433,86.97276995305164
1.467,87.27981220657277
1.500,87.07887323943662
1.533,88.29530516431925
1.567,88.3347619047619
1.600,86.99333333333334
1.633,87.70917874396136
1.667,85.3695652173913
1.700,88.47391304347826
1.733,87.6256038647343
1.767,88.12463768115941
1.800,90.20821256038647
1.833,86.98591549295774
1.867,88.98238095238095
1.900,88.66666666666667
1.933,87.9952380952381
1.967,89.6204761904762
2.000,86.50328638497652
2.033,86.54953703703704
2.067,89.45070422535211
2.100,87.1943661971831
2.133,88.39710144927537
2.167,87.7768115942029
2.200,84.24857142857142
2.233,85.52910798122066
2.267,85.4050925925926
2.300,85.55694444444444
2.333,85.15714285714286
2.367,85.7943661971831
2.400,86.07887323943662
2.433,85.98638497652583
2.467,85.70579710144928
2.500,85.08380952380952
2.533,83.52047619047619
2.567,93.01481481481481
2.600,90.6300469483568
2.633,90.76285714285714
2.667,96.92380952380952
2.700,94.14976525821596
2.733,94.75285714285714
2.767,91.21904761904761
2.800,92.58357487922706
2.833,93.70892018779342
2.867,92.34714285714286
2.900,88.27294685990339
2.933,88.35808080808081
2.967,81.18840579710145
3.000,86.78088235294118
3.033,79.82666666666667
3.067,82.15223880597014
3.100,89.38820512820513
3.133,90.14838709677419
3.167,97.47853107344633
3.200,96.52843137254902
3.233,97.15970149253731
3.267,97.54492753623188
3.300,106.51128205128205
3.333,104.41111111111111
3.367,87.91032863849765
3.400,90.59765258215963
3.433,86.14084507042253
