Time (s),Green Avg (rPPG Proxy)
0.000,82.95449275362319
0.033,85.97657657657658
0.067,93.50677966101695
0.100,94.404802259887
0.133,93.8086111111111
0.167,94.46696696696696
0.200,93.81621621621622
0.233,93.43242424242425
0.267,92.09292035398231
0.300,92.72376811594202
0.333,91.6235632183908
0.367,93.88761061946903
0.400,92.59732142857143
0.433,91.78666666666666
0.467,90.72522522522523
0.500,89.95749235474005
0.533,92.70277777777778
0.567,94.69158878504673
0.600,94.43930817610062
0.633,99.31666666666666
0.667,95.36538461538461
0.700,94.98589743589744
0.733,93.7374213836478
0.767,93.90591900311526
0.800,94.38238993710692
0.833,94.12314814814815
0.867,93.69408099688474
0.900,95.04213836477987
0.933,94.00911949685535
0.967,93.55482866043614
1.000,94.53644859813085
1.033,94.76320754716981
1.067,93.18470948012232
1.100,90.71969696969697
1.133,88.90202898550724
1.167,87.78074712643678
1.200,93.14527777777778
1.233,95.98852459016393
1.267,130.5840579710145
1.300,120.90825958702065
1.333,119.05169491525423
1.367,119.33361823361824
1.400,119.07902298850574
1.433,119.1423188405797
1.467,120.59310344827587
1.500,122.45188405797101
1.533,119.60521739130435
1.567,119.95652173913044
1.600,119.70115942028986
1.633,121.37631578947368
1.667,121.37478260869565
1.700,126.8568115942029
1.733,124.0391304347826
1.767,124.68908045977011
1.800,120.60197740112994
1.833,118.80227920227921
1.867,118.79378531073446
1.900,117.4225988700565
1.933,116.71512605042017
1.967,116.95084745762712
2.000,115.76494252873563
2.033,116.28376068376069
2.067,117.43304597701149
2.100,117.48347578347578
2.133,118.56985507246377
2.167,119.67652173913044
2.200,118.66286549707603
2.233,119.76286549707602
2.267,119.23217391304348
2.300,121.12105263157895
2.333,120.71637426900585
2.367,120.21356932153392
2.400,122.38200589970502
2.433,122.03244837758112
2.467,121.36695906432749
2.500,121.6766081871345
2.533,122.49375
2.567,122.3157738095238
2.600,122.16902654867256
2.633,120.9625
2.667,120.47787610619469
2.700,121.08377581120943
2.733,121.11520467836257
2.767,111.14481792717086
2.800,110.403081232493
2.833,112.15777777777778
2.867,110.45098039215686
2.900,109.88795518207283
2.933,109.76862745098039
2.967,110.80924369747899
3.000,111.59411764705882
3.033,110.08166666666666
3.067,109.58235294117647
3.100,110.04180790960451
3.133,110.65154061624649
3.167,111.03898305084746
3.200,111.12268907563025
3.233,110.34378531073446
3.267,111.06666666666666
3.300,110.58233618233618
3.333,111.3965811965812
3.367,111.89454022988505
3.400,110.17236467236468
3.433,110.43103448275862
