Time (s),Green Avg (rPPG Proxy)
0.000,86.50744680851064
0.033,91.07624113475177
0.067,86.8638888888889
0.100,88.25204081632653
0.133,88.63639455782312
0.167,89.66013745704467
0.200,90.61904761904762
0.233,87.7057239057239
0.267,90.22414965986394
0.300,91.60466666666666
0.333,89.66567656765676
0.367,88.29281045751634
0.400,86.16013071895425
0.433,88.04509803921569
0.467,83.81025641025641
0.500,85.11378205128206
0.533,84.53621794871795
0.567,84.74294871794872
0.600,83.88930817610063
0.633,83.50063492063492
0.667,84.1937106918239
0.700,83.7791277258567
0.733,85.49842767295597
0.767,86.16635220125787
0.800,86.91100628930818
0.833,87.0619937694704
0.867,87.95
0.900,88.04937106918238
0.933,88.3625786163522
0.967,89.23862928348909
1.000,88.83302180685358
1.033,89.57283950617284
1.067,90.21512345679012
1.100,89.62262996941897
1.133,90.77186544342507
1.167,92.95401234567902
1.200,99.17191358024691
1.233,99.92376543209876
1.267,93.25482866043613
1.300,93.1966049382716
1.333,93.1787037037037
1.367,93.91604938271605
1.400,93.53086419753086
1.433,93.90864197530864
1.467,93.56882716049383
1.500,93.34320987654321
1.533,93.22253086419754
1.567,92.72367601246106
1.600,92.96728395061729
1.633,93.02367601246105
1.667,92.5877358490566
1.700,92.45786163522013
1.733,92.7685534591195
1.767,92.04591194968553
1.800,92.14905660377359
1.833,91.92201257861635
1.867,92.798753894081
1.900,92.92803738317757
1.933,93.42380952380952
1.967,93.45396825396826
2.000,93.70063492063493
2.033,93.8704761904762
2.067,93.22190476190477
2.100,93.33490566037736
2.133,93.20507936507937
2.167,93.10754716981133
2.200,93.40031446540881
2.233,92.6188679245283
2.267,93.0685534591195
2.300,93.34761904761905
2.333,93.35555555555555
2.367,93.09587301587301
2.400,92.50408805031446
2.433,92.90880503144655
2.467,92.97075471698113
2.500,92.8877358490566
2.533,92.45220125786163
2.567,93.48490566037736
2.600,93.64779874213836
2.633,94.16006289308176
2.667,94.14213836477987
2.700,93.98730158730159
2.733,94.39935897435898
2.767,94.46793650793651
2.800,94.5663492063492
2.833,94.83460317460317
2.867,95.16349206349206
2.900,99.00095238095238
2.933,99.31410256410257
2.967,100.20761904761905
3.000,99.86666666666666
3.033,99.40880503144655
3.067,97.98018867924529
3.100,98.09182389937106
3.133,98.01540880503144
3.167,97.82138364779874
3.200,97.4447619047619
3.233,97.10471698113207
3.267,97.09809523809524
3.300,97.26063492063491
3.333,97.87238095238095
3.367,98.06984126984128
3.400,97.83555555555556
3.433,98.04507936507936
3.467,98.20440251572327
3.500,98.16540880503145
