Time (s),Green Avg (rPPG Proxy)
0.000,97.10343642611684
0.033,103.28027210884353
0.067,98.64353741496599
0.100,97.72366666666667
0.133,105.05353535353535
0.167,102.56969696969696
0.200,104.8236111111111
0.233,105.41326530612245
0.267,106.29826388888888
0.300,106.51284722222222
0.333,91.3436170212766
0.367,78.53794326241135
0.400,103.76518518518519
0.433,97.71962962962964
0.467,97.9106227106227
0.500,100.9144927536232
0.533,98.73297491039426
0.567,105.15050505050505
0.600,105.72289562289562
0.633,106.47128712871287
0.667,102.127
0.700,98.82566666666666
0.733,98.21980198019801
0.767,99.02333333333333
0.800,99.44424242424242
0.833,115.67553516819572
0.867,115.12424242424242
0.900,113.83119266055046
0.933,113.02935779816514
0.967,106.30151515151515
1.000,97.4525993883792
1.033,98.5069069069069
1.067,115.8954954954955
1.100,117.20424242424242
1.133,105.74041297935104
1.167,104.60176991150442
1.200,106.46577380952381
1.233,115.60210210210211
1.267,105.28422619047619
1.300,104.15375375375375
1.333,102.87410714285714
1.367,103.83988095238095
1.400,101.73243243243243
1.433,103.08078078078078
1.467,105.43575757575758
1.500,103.35863095238095
1.533,104.63843843843844
1.567,103.4957957957958
1.600,103.77507507507508
1.633,102.75982142857143
1.667,103.05615615615616
1.700,100.40930930930931
1.733,100.23453453453453
1.767,101.73843843843844
1.800,101.05525525525526
1.833,100.12012012012012
1.867,101.24624624624624
1.900,101.44606060606061
1.933,101.09939393939393
1.967,102.29272727272728
2.000,102.4645259938838
2.033,102.61987767584098
2.067,101.52660550458715
2.100,101.54036697247706
2.133,101.37454545454545
2.167,100.72874617737003
2.200,101.76880733944954
2.233,100.83700305810397
2.267,101.25617283950618
2.300,101.47278287461774
2.333,101.74814814814815
2.367,102.56265432098765
2.400,103.42446483180429
2.433,105.55015290519877
2.467,106.8256880733945
2.500,105.64678899082568
2.533,106.33956386292834
2.567,106.07345679012346
2.600,106.07438271604939
2.633,105.43240740740741
2.667,105.1
2.700,103.45168195718655
2.733,102.83969696969697
2.767,103.63241590214068
2.800,103.11635802469135
2.833,103.31284403669724
2.867,102.48103975535169
2.900,102.71590214067278
2.933,101.61
2.967,101.06515151515151
3.000,102.4085626911315
3.033,101.95515151515151
3.067,100.68776758409786
3.100,100.7697247706422
3.133,100.01223241590215
3.167,101.96605504587156
3.200,101.34036697247707
3.233,100.082874617737
3.267,101.71376146788991
3.300,100.28287461773701
3.333,100.82140672782874
3.367,99.6179012345679
3.400,99.25076452599389
3.433,100.30277777777778
3.467,100.90581039755352
3.500,101.82932098765433
3.533,100.36121212121212
3.567,103.62752293577982
3.600,102.64923547400612
