Time (s),Green Avg (rPPG Proxy)
0.000,102.88955823293173
0.033,102.23943089430894
0.067,95.84939759036145
0.100,96.10853658536585
0.133,97.0433734939759
0.167,96.77429718875501
0.200,96.85406504065041
0.233,96.65609756097561
0.267,96.96465863453815
0.300,96.12154471544716
0.333,98.30081300813008
0.367,98.66748971193415
0.400,102.02798353909465
0.433,102.5559670781893
0.467,105.0485596707819
0.500,104.89704641350211
0.533,105.79416666666667
0.567,116.77393162393163
0.600,117.09789029535865
0.633,112.48818565400843
0.667,109.09957805907173
0.700,108.96244725738397
0.733,108.61645569620254
0.767,109.355
0.800,109.27383966244726
0.833,109.07763713080169
0.867,109.42911392405064
0.900,110.2451476793249
0.933,109.74050632911393
0.967,109.94050632911393
1.000,109.86160337552742
1.033,110.22489451476794
1.067,109.57088607594936
1.100,109.69662447257384
1.133,109.70886075949367
1.167,109.19493670886077
1.200,109.2451476793249
1.233,109.42362869198313
1.267,109.61324786324786
1.300,109.43162393162393
1.333,109.95400843881856
1.367,110.20897435897436
1.400,110.04444444444445
1.433,109.68846153846154
1.467,110.07130801687764
1.500,109.46794871794872
1.533,109.89615384615385
1.567,109.96540084388185
1.600,109.37383966244725
1.633,109.34529914529915
1.667,109.27735042735043
1.700,109.83888888888889
1.733,109.82067510548524
1.767,109.66458333333334
1.800,109.62784810126583
1.833,109.53497942386831
1.867,109.23417721518987
1.900,108.14599156118143
1.933,107.20375
1.967,107.1084388185654
2.000,106.21308016877637
2.033,114.49029535864979
2.067,105.84615384615384
2.100,105.88290598290598
2.133,105.60263157894737
2.167,101.77066666666667
2.200,96.9990990990991
2.233,105.84567901234568
2.267,106.20243902439024
2.300,106.20288065843621
2.333,106.80658436213992
2.367,107.37078189300412
2.400,108.13833333333334
2.433,75.63823529411765
2.467,62.93529411764706
2.500,61.083333333333336
2.533,60.005714285714284
2.567,63.699074074074076
2.600,62.873333333333335
2.633,66.62685185185185
2.667,62.112612612612615
2.700,58.1
2.733,63.23603603603603
2.767,64.78918918918919
2.800,65.21574074074074
2.833,62.50648148148148
2.867,108.75238095238095
2.900,109.32103174603175
2.933,108.73764705882353
2.967,108.90980392156862
3.000,109.05803921568628
3.033,108.96317829457364
3.067,108.7624521072797
3.100,103.18914728682171
3.133,107.78052434456929
3.167,119.68666666666667
3.200,119.33111111111111
3.233,119.27875457875457
3.267,118.8985347985348
3.300,118.52271062271062
3.333,118.85398550724638
3.367,118.5126811594203
3.400,119.13260869565218
3.433,118.50322580645161
3.467,119.53405797101449
3.500,120.14645390070922
3.533,119.72717391304347
3.567,119.40760869565217
3.600,120.9608695652174
