Time (s),Green Avg (rPPG Proxy)
0.000,83.56086956521739
0.033,83.42380952380952
0.067,85.29283154121863
0.100,84.29354838709678
0.133,84.0163043478261
0.167,83.97455197132616
0.200,85.75471014492754
0.233,85.70253623188405
0.267,84.75579710144928
0.300,84.33297491039427
0.333,83.54893617021277
0.367,84.14842105263158
0.400,83.2078853046595
0.433,80.86057347670251
0.467,82.81195652173913
0.500,84.61397849462365
0.533,80.07375886524822
0.567,81.29569892473118
0.600,79.29713261648746
0.633,78.7481884057971
0.667,79.49528985507246
0.700,81.9836956521739
0.733,80.4018115942029
0.767,82.02898550724638
0.800,85.4
0.833,85.62355072463768
0.867,88.27934782608696
0.900,86.8051282051282
0.933,87.40253623188406
0.967,89.05942028985507
1.000,93.62930402930402
1.033,94.06086956521739
1.067,95.41594202898551
1.100,99.94130434782609
1.133,93.67210144927536
1.167,82.01666666666667
1.200,82.41134751773049
1.233,85.57588652482269
1.267,85.22517730496453
1.300,86.33617021276596
1.333,90.51985815602836
1.367,98.17025089605735
1.400,95.95089605734768
1.433,95.41362007168459
1.467,96.55212765957447
1.500,100.0090579710145
1.533,102.08136200716847
1.567,108.70609318996416
1.600,109.08494623655913
1.633,105.73809523809524
1.667,111.8677536231884
1.700,110.88458781362007
1.733,112.8893772893773
1.767,110.87383512544802
1.800,110.97275985663083
1.833,107.29492753623188
1.867,112.81739130434782
1.900,107.83514492753623
1.933,112.02939068100359
1.967,111.98949275362318
2.000,103.77056737588653
2.033,102.20322580645161
2.067,94.01489361702127
2.100,92.2768115942029
2.133,91.10771929824561
2.167,92.66666666666667
2.200,93.91382978723404
2.233,93.04516129032258
2.267,97.5179211469534
2.300,101.6731884057971
2.333,102.84065934065934
2.367,102.18115942028986
2.400,102.3347670250896
2.433,105.70695970695971
2.467,104.875
2.500,108.61123188405797
2.533,107.1981884057971
2.567,115.39157509157509
2.600,108.1322463768116
2.633,113.75164835164836
2.667,115.9095238095238
2.700,107.68152173913043
2.733,108.3236559139785
2.767,114.45677655677656
2.800,108.3677536231884
2.833,108.48840579710145
2.867,108.60289855072463
2.900,116.35347985347985
2.933,117.1481884057971
2.967,109.0089605734767
3.000,116.28315018315018
3.033,116.1876811594203
3.067,117.35222222222222
3.100,117.27851851851852
3.133,112.103663003663
3.167,112.73113553113554
3.200,111.76703296703296
3.233,111.54782608695652
3.267,118.32344322344322
3.300,117.43369565217391
3.333,111.60760869565217
3.367,111.91296296296296
3.400,118.36813186813187
3.433,115.72101449275362
3.467,111.97106227106227
3.500,117.61135531135531
3.533,106.71159420289855
