Time (s),Green Avg (rPPG Proxy)
0.000,99.8157894736842
0.033,100.85438596491228
0.067,100.82882882882883
0.100,101.84474885844749
0.133,102.53935185185185
0.167,102.82685185185186
0.200,102.43873873873873
0.233,103.13963963963964
0.267,103.12252252252252
0.300,102.86359649122807
0.333,102.48947368421052
0.367,102.8
0.400,103.01842105263158
0.433,104.1108108108108
0.467,102.93063063063063
0.500,103.92533333333333
0.533,103.49777777777778
0.567,104.41141552511415
0.600,104.43470319634703
0.633,104.44414414414415
0.667,104.39814814814815
0.700,103.97342342342343
0.733,103.89054054054054
0.767,103.0063063063063
0.800,104.39577464788732
0.833,104.8868544600939
0.867,104.84835680751173
0.900,104.67268518518519
0.933,104.10324074074074
0.967,103.91598173515982
1.000,104.76803652968036
1.033,104.39041095890411
1.067,104.90311111111112
1.100,106.21690140845071
1.133,112.33095238095238
1.167,113.50985915492957
1.200,114.15915492957747
1.233,113.34460093896713
1.267,112.90365296803652
1.300,115.21032863849766
1.333,114.09444444444445
1.367,114.79906103286385
1.400,116.80958904109589
1.433,118.21780821917808
1.467,118.54622222222223
1.500,119.67155555555556
1.533,119.24222222222222
1.567,120.77822222222223
1.600,120.77207207207208
1.633,120.38815789473684
1.667,120.34912280701755
1.700,120.18008658008658
1.733,119.82149122807017
1.767,119.82149122807017
1.800,119.59868421052632
1.833,119.50745614035088
1.867,119.75877192982456
1.900,119.64736842105263
1.933,119.26753246753246
1.967,119.372
2.000,118.58225108225108
2.033,118.08181818181818
2.067,117.87307692307692
2.100,117.87307692307692
2.133,118.42770562770563
2.167,118.43419913419913
2.200,117.44761904761904
2.233,117.44761904761904
2.267,118.17489177489178
2.300,118.34502164502165
2.333,117.95497835497835
2.367,118.0051948051948
2.400,117.76709956709956
2.433,117.84473684210526
2.467,118.70133333333334
2.500,118.31288888888889
2.533,117.924
2.567,118.20533333333333
2.600,117.9342105263158
2.633,117.2030701754386
2.667,117.12412280701754
2.700,117.52587719298245
2.733,117.71491228070175
2.767,117.5609649122807
2.800,117.78728070175438
2.833,117.81466666666667
2.867,118.1408888888889
2.900,118.1408888888889
2.933,118.91955555555556
2.967,119.09866666666667
3.000,119.30888888888889
3.033,119.08222222222223
3.067,119.24844444444444
3.100,119.24844444444444
3.133,119.54234234234234
3.167,119.41351351351351
3.200,119.20405405405405
3.233,119.04666666666667
3.267,119.04666666666667
3.300,119.40945945945946
3.333,118.89817351598174
3.367,118.309009009009
3.400,118.33244444444445
3.433,117.1031111111111
3.467,117.39054054054054
3.500,117.63063063063063
3.533,117.22
3.567,117.65135135135135
3.600,117.46306306306306
3.633,117.22297297297297
3.667,116.92342342342343
3.700,116.99549549549549
